"ID","Type","Censored","Collection Date","Divergence","Estimated Date","Date Difference"
"t89","Training",0,1140.98637385093,0.302714626527,947.128767153106,-193.857606697824
"t88","Training",1,1107.31357307645,0.275772466847,808.987620570464,-298.325952505986
"t21","Training",0,1391.68239395702,0.351906612407,1199.35195240818,-192.330441548844
"t99","Training",1,1422.65462046432,0.373451802377,1309.82109375196,-112.833526712363
"t62","Training",0,1146.64802155569,0.279326533117,827.21046519019,-319.437556365501
"t4","Training",1,934.766585704174,0.191681481279,377.82600243741,-556.940583266764
"t27","Training",0,1570.45555323849,0.34213904168,1149.27046541601,-421.185087822482
"t38","Training",1,1604.66202810622,0.34528537866,1165.40275039668,-439.259277709539
"t70","Training",1,1434.52799116838,0.440051616742,1651.29983294159,216.771841773211
"t47","Training",1,863.504965333911,0.371557520912,1300.10850141959,436.60353608568
"t1","Training",1,881.082880735641,0.379955034063,1343.16526111889,462.082380383251
"t23","Training",0,1408.57840947778,0.4098928473666,1496.66609049028,88.0876810125001
"t44","Training",1,1146.64802155569,0.4077953777766,1485.91168707473,339.263665519042
"t35","Training",0,1228.03669443913,0.420943715893,1553.32745940438,325.290764965245
"t39","Training",1,907.451559115152,0.374461957139,1315.00048318124,407.548924066086
"t13","Training",0,1140.98637385093,0.401261299499,1452.40935927885,311.422985427919
"t18","Training",1,1187.82367740932,0.411046405938,1502.580757525,314.75708011568
"t56","Training",1,1492.45445365831,0.436866658889,1634.96952628257,142.515072624257
"t64","Training",0,888.119224709915,0.340211069284,1139.38512880876,251.265904098842
"t3","Training",1,612.020142334379,0.14047117609,115.2542427983,-496.765899536079
"t43","Training",1,1434.52799116838,0.33798886028,1127.99114616576,-306.536845002623
"t10","Training",1,1589.80912454592,0.37151634134,1299.89736046581,-289.911764080114
"t19","Training",1,1518.71310054449,0.361594151752,1249.02309267969,-269.690007864802
"t58","Training",1,1599.1941070852,0.375576408572,1320.71463529799,-278.479471787212
"t31","Training",1,1228.03669443913,0.29624603207,913.962196036261,-314.074498402869
"t83","Training",0,615.083804739988,0.41044488276,1499.49655408727,884.41274934728
"t73","Training",1,1391.68239395702,0.47928894158,1852.48225878775,460.799864830727
"t65","Training",0,1532.72609009019,0.365834949089,1270.76702907959,-261.959061010605
"t82","Training",0,1588.46196415809,0.50893937341,2004.50959060952,416.047626451435
"t74","Training",0,1210.35997684063,0.46095605074,1758.48361165286,548.123634812234
"t90","Training",1,1533.52518575135,0.48642112761,1889.0512780322,355.526092280846
"t12","Training",0,1555.600326358,0.3621600240745,1251.92450267718,-303.675823680822
"t63","Training",1,1546.35390078906,0.365400393754,1268.53892365138,-277.814977137677
"t54","Training",0,1136.28214730588,0.453493979441,1720.22316418434,583.941016878457
"t53","Training",1,986.549744034394,0.434103861807,1620.80377412254,634.254030088149
"t76","Training",0,1546.35390078906,0.498543571407,1951.2069591428,404.853058353745
"t98","Training",1,934.766585704174,0.429165639817,1595.48391647636,660.717330772191
"t29","Training",1,1604.66202810622,0.488264501935,1898.50285303067,293.840824924453
"t33","Training",1,1589.80912454592,0.485962204405,1886.69823067129,296.889106125371
"t84","Training",0,1136.1350598877,0.454786565576,1726.85067040012,590.715610512417
"t2","Training",1,1504.94637783704,0.490228438295,1908.57258848648,403.626210649441
"t17","Training",0,1533.67496871869,0.492538114745,1920.41504494979,386.740076231101
"t60","Training",0,1599.1941070852,0.518076198049,2051.35703887452,452.162931789318
"t36","Training",0,1446.67106434478,0.482890725782,1870.94976864283,424.278704298047
"t92","Training",1,195.639479680273,0.395899882344,1424.91964346184,1229.28016378157
"t34","Training",0,318.30055371473,0.0725337132845,-233.083051588464,-551.383605303194
"t42","Training",1,615.083804739988,0.171647386736,275.104734959751,-339.979069780237
"t95","Training",0,816.203163439774,0.23463027353,598.038319354865,-218.164844084909
"t52","Training",0,1136.1350598877,0.29272828744,895.925584185361,-240.209475702339
"t6","Training",1,1187.82367740932,0.29803792971,923.149833459852,-264.673843949468
"t87","Training",0,290.789637722345,0.089486074454,-146.162825554164,-436.952463276509
"t22","Training",1,144.047973651861,0.056203210903,-316.814806950511,-460.862780602372
"t66","Training",1,195.639479680273,0.056922664193,-313.12593777396,-508.765417454233
